epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,133.385,1.22206,1.67886,1.36808,0.82251,0.73854,0.82021,0.48191,1.32959,1.1259,1.42341,0.000555173,0.000555173,0.000555173
2,254.627,1.24803,1.35189,1.37388,0.81603,0.75439,0.84217,0.56175,1.19797,1.00702,1.33871,0.00106685,0.00106685,0.00106685
3,373.225,1.2571,1.28802,1.37814,0.82833,0.77568,0.83422,0.54517,1.20374,0.99459,1.35231,0.00153452,0.00153452,0.00153452
4,491.176,1.21234,1.19717,1.34494,0.8348,0.77891,0.84875,0.564,1.16735,0.99796,1.32047,0.00146896,0.00146896,0.00146896
5,608.921,1.15614,1.11039,1.30446,0.87305,0.80837,0.89064,0.60901,1.10066,0.79759,1.25748,0.00140295,0.00140295,0.00140295
6,726.955,1.12151,1.04386,1.2823,0.89743,0.85511,0.91422,0.64025,1.03189,0.71928,1.21237,0.00133693,0.00133693,0.00133693
7,844.64,1.09792,1.01867,1.27408,0.904,0.8523,0.91464,0.65051,1.03207,0.69652,1.20356,0.00127092,0.00127092,0.00127092
8,961.451,1.07222,0.97823,1.25758,0.89348,0.87177,0.91519,0.65009,1.02812,0.6823,1.21026,0.00120491,0.00120491,0.00120491
9,1078.23,1.04628,0.95462,1.24002,0.90754,0.89069,0.92767,0.67468,0.98514,0.63551,1.17393,0.00113889,0.00113889,0.00113889
10,1194.75,1.03315,0.90968,1.23023,0.91175,0.88733,0.92805,0.68099,0.9704,0.59514,1.15373,0.00107288,0.00107288,0.00107288
11,1311.41,1.00565,0.87606,1.2125,0.92241,0.88011,0.93033,0.68076,0.94614,0.61049,1.13305,0.00100687,0.00100687,0.00100687
12,1428.43,0.99475,0.87849,1.21055,0.91098,0.87952,0.93256,0.69152,0.95176,0.58502,1.15446,0.000940855,0.000940855,0.000940855
13,1545.01,0.97802,0.84593,1.19822,0.91472,0.90022,0.93253,0.69172,0.93526,0.56364,1.13717,0.000874842,0.000874842,0.000874842
14,1663.55,0.96322,0.8308,1.19256,0.91349,0.88985,0.93504,0.69753,0.91305,0.56731,1.11542,0.000808828,0.000808828,0.000808828
15,1780.36,0.94568,0.80415,1.17933,0.92584,0.89687,0.93775,0.70836,0.8868,0.52722,1.09998,0.000742815,0.000742815,0.000742815
16,1914.15,0.85808,0.66086,1.15341,0.91468,0.89633,0.9401,0.71795,0.89486,0.53673,1.10387,0.000676802,0.000676802,0.000676802
17,2030.28,0.84302,0.6336,1.14343,0.91874,0.9058,0.94626,0.72122,0.88354,0.5216,1.08942,0.000610789,0.000610789,0.000610789
18,2146.4,0.82468,0.61503,1.13604,0.92379,0.90573,0.94638,0.73026,0.87009,0.50571,1.08033,0.000544776,0.000544776,0.000544776
19,2262.38,0.80022,0.59761,1.12365,0.92724,0.9097,0.94369,0.73507,0.85101,0.50092,1.07152,0.000478762,0.000478762,0.000478762
20,2378.48,0.78268,0.57436,1.10828,0.92224,0.91512,0.94712,0.73574,0.84031,0.49584,1.06943,0.000412749,0.000412749,0.000412749
21,2494.75,0.76444,0.55459,1.09912,0.93172,0.91561,0.95056,0.74302,0.82777,0.4783,1.05383,0.000346736,0.000346736,0.000346736
22,2610.92,0.75525,0.54652,1.08506,0.93443,0.91792,0.94805,0.74345,0.82451,0.46492,1.05458,0.000280723,0.000280723,0.000280723
23,2727.07,0.72685,0.52712,1.07429,0.93454,0.91826,0.95121,0.74527,0.81659,0.4636,1.04679,0.00021471,0.00021471,0.00021471
24,2843.15,0.71378,0.51986,1.06578,0.92671,0.91916,0.94972,0.74718,0.81151,0.45945,1.04552,0.000148696,0.000148696,0.000148696
25,2959.42,0.69626,0.5036,1.0586,0.94178,0.9123,0.94985,0.74897,0.80324,0.45215,1.03913,8.26832e-05,8.26832e-05,8.26832e-05
