epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,102.64,0.72904,1.57072,1.27788,0.98763,0,0.92259,0.91641,0.95808,0.84243,0.92259,0.91641,0.95699,0.81235,0.53443,1.10826,0.68891,0.89393,0,0.000475566,0.000475566,0.000475566
2,194.666,0.69953,1.4398,0.74468,0.97781,0,0.98627,0.94559,0.96145,0.84968,0.98627,0.94559,0.96088,0.80237,0.52244,1.23174,0.51301,0.90587,0,0.000914204,0.000914204,0.000914204
3,284.747,0.6748,1.37419,0.61171,0.96869,0,0.99326,0.96423,0.96821,0.85639,0.99346,0.96354,0.96534,0.82635,0.52855,1.12363,0.38716,0.89523,0,0.00131512,0.00131512,0.00131512
4,374.692,0.64584,1.352,0.53554,0.95916,0,0.99594,0.96409,0.96659,0.87903,0.99594,0.96409,0.96414,0.84076,0.45269,0.96688,0.34132,0.86812,0,0.00125923,0.00125923,0.00125923
5,464.252,0.61341,1.29303,0.49578,0.9471,0,0.99189,0.96409,0.96602,0.88146,0.99189,0.96409,0.96356,0.83897,0.43737,0.96527,0.33812,0.85435,0,0.00120265,0.00120265,0.00120265
6,553.897,0.59378,1.25373,0.46307,0.94291,0,0.99678,0.96409,0.97095,0.89264,0.99678,0.96409,0.97028,0.84986,0.41768,0.95637,0.29593,0.84746,0,0.00114606,0.00114606,0.00114606
7,647.683,0.557,1.19928,0.42733,0.93366,0,0.99647,0.96409,0.97153,0.89975,0.99647,0.96409,0.97153,0.86157,0.4162,0.9497,0.28921,0.84945,0,0.00108947,0.00108947,0.00108947
8,740.221,0.53895,1.22296,0.40501,0.92174,0,0.99663,0.96409,0.96884,0.89938,0.99663,0.96409,0.96884,0.85951,0.39163,0.87485,0.27002,0.83634,0,0.00103288,0.00103288,0.00103288
9,830.907,0.53048,1.2061,0.39582,0.91818,0,0.99409,0.9638,0.96665,0.90312,0.99409,0.9638,0.96665,0.85468,0.37457,0.939,0.26302,0.83393,0,0.000976293,0.000976293,0.000976293
10,921.652,0.51633,1.17829,0.3838,0.91522,0,0.99641,0.96409,0.96976,0.91265,0.99641,0.96409,0.96976,0.86112,0.37539,0.88148,0.26467,0.82656,0,0.000919704,0.000919704,0.000919704
11,1012.08,0.50895,1.11118,0.37404,0.91509,0,0.99645,0.96409,0.96942,0.91588,0.99645,0.96409,0.96942,0.86288,0.36587,0.89226,0.25818,0.82995,0,0.000863116,0.000863116,0.000863116
12,1102.76,0.49662,1.13844,0.36053,0.91304,0,0.99676,0.96409,0.96681,0.91396,0.99676,0.96409,0.96681,0.8612,0.36206,0.83483,0.24336,0.82293,0,0.000806528,0.000806528,0.000806528
13,1194.4,0.49562,1.0958,0.3537,0.90685,0,0.99683,0.96409,0.97301,0.91548,0.99683,0.96409,0.97137,0.86741,0.36267,0.83358,0.23526,0.81975,0,0.000749939,0.000749939,0.000749939
14,1285.56,0.47199,1.0692,0.33875,0.9028,0,0.99679,0.96409,0.97165,0.92703,0.99679,0.96409,0.97165,0.87032,0.33032,0.85003,0.22196,0.80945,0,0.000693351,0.000693351,0.000693351
15,1377.99,0.46528,1.07801,0.32724,0.89922,0,0.99672,0.96409,0.969,0.92632,0.99672,0.96409,0.969,0.8679,0.32774,0.85521,0.21276,0.80859,0,0.000636762,0.000636762,0.000636762
16,1485.67,0.35938,0.94133,0.25011,0.83582,0,0.99688,0.96425,0.97716,0.93654,0.99453,0.96199,0.97278,0.87131,0.32906,0.79564,0.22875,0.81564,0,0.000580174,0.000580174,0.000580174
17,1575.37,0.34852,0.86271,0.24464,0.82798,0,0.99681,0.96409,0.97533,0.93226,0.99681,0.96409,0.97533,0.8747,0.32855,0.79928,0.21946,0.81229,0,0.000523586,0.000523586,0.000523586
18,1664.97,0.33661,0.85986,0.23162,0.82816,0,0.99685,0.96409,0.97437,0.93515,0.99685,0.96409,0.97437,0.87652,0.32505,0.72869,0.21255,0.81038,0,0.000466997,0.000466997,0.000466997
19,1754.79,0.32102,0.84553,0.2179,0.82088,0,0.99685,0.96409,0.97413,0.93709,0.99685,0.96409,0.97413,0.87549,0.30742,0.79809,0.20173,0.80499,0,0.000410409,0.000410409,0.000410409
20,1844.47,0.31259,0.84238,0.21039,0.81961,0,0.99669,0.96409,0.9718,0.9378,0.99498,0.96245,0.97058,0.87562,0.29634,0.76896,0.19201,0.80061,0,0.00035382,0.00035382,0.00035382
21,1934.48,0.30181,0.81994,0.20177,0.81846,0,0.99679,0.96409,0.97767,0.94421,0.99679,0.96409,0.97705,0.88429,0.2933,0.71599,0.1836,0.80127,0,0.000297232,0.000297232,0.000297232
22,2024.1,0.29593,0.80919,0.19652,0.81444,0,0.99681,0.96409,0.97474,0.94633,0.99681,0.96409,0.97474,0.88319,0.28619,0.72077,0.18124,0.79865,0,0.000240644,0.000240644,0.000240644
23,2113.9,0.28737,0.80628,0.18709,0.81133,0,0.99684,0.96409,0.97468,0.94333,0.99684,0.96409,0.97468,0.87901,0.27776,0.75712,0.17525,0.79302,0,0.000184055,0.000184055,0.000184055
24,2203.65,0.27858,0.78341,0.18075,0.80937,0,0.99676,0.96409,0.97485,0.94889,0.97407,0.94228,0.93918,0.84913,0.27626,0.70963,0.16944,0.79059,0,0.000127467,0.000127467,0.000127467
25,2293.46,0.26964,0.77993,0.17368,0.80499,0,0.99683,0.96409,0.97408,0.94698,0.99683,0.96409,0.97408,0.88059,0.27236,0.70743,0.16447,0.79147,0,7.08784e-05,7.08784e-05,7.08784e-05
